g,job_id,start_op,end_op,num_ops,sum_op_time_s,max_op_time_s,sum_op_mem_gb,max_op_mem_gb,actual_time_s,actual_mem_gb
4,16,61,64,4,51.86623363313265,30.409774183062837,19.146892547607422,6.722393035888672,47.33706562197767,6.778335571289063
4,17,65,68,4,21.61796118086204,13.749451245064847,17.243301391601562,4.311153411865234,3.0795324760256335,3.105045318603516
4,18,69,72,4,13.897901543183252,3.8515559231163934,17.27886962890625,4.324180603027344,105.09186091891024,13.852783203125
4,19,73,76,4,56.64663208601996,45.44359056802932,17.85153579711914,5.131275177001953,15.459844157914631,4.3018646240234375
4,20,77,80,4,16.780809271964245,4.320128871127963,16.742420196533203,4.190200805664063,66.67099799891002,8.599166870117188
4,21,81,84,4,14.607229143264703,4.365095951012336,16.794109344482422,4.201641082763672,12.413842771085909,4.426357269287109
4,22,85,88,4,32.33336528390646,21.60926213604398,18.225513458251953,5.423839569091797,28.551588724018075,6.535682678222656
4,23,89,92,4,12.653536121943034,3.9339325230102986,17.20397186279297,4.301258087158203,46.64023949299008,7.0081787109375
4,24,93,96,4,45.28529947984498,33.8081999089336,17.911853790283203,4.974353790283203,3.2718332109507173,3.31277847290039
4,25,97,100,4,10.692059523891658,2.7186653069220483,17.32815933227539,4.332347869873047,105.0838481959654,13.884998321533203
4,26,101,104,4,35.96053914085496,26.513343127910048,17.339305877685547,4.337177276611328,15.995095551945269,4.285152435302734
4,27,105,108,4,50.266549999127164,30.484129125019535,20.400543212890625,6.944400787353516,62.298127340036444,7.982040405273437
4,28,109,112,4,22.495620110305026,13.514446527115068,18.245460510253906,4.566436767578125,15.09852865699213,5.188247680664063
4,29,113,116,4,12.628338668029755,3.821899797068909,18.267852783203125,4.5670166015625,35.864374261000194,7.375995635986328
4,30,117,120,4,57.339671245077625,44.024808370973915,19.748153686523438,5.517345428466797,8.38651831599418,5.694877624511719
4,31,121,124,4,15.857346502831206,4.329088686848991,18.424732208251953,4.610614776611328,13.434643547865562,3.909687042236328
8,1,1,8,8,34.787827248102985,7.418433913961053,13.267326354980469,1.8658370971679688,16.87080083298497,3.101669311523437
8,2,9,16,8,53.706752267316915,34.799867353984155,26.982757568359375,3.867500305175781,35.363353650900535,3.675724029541016
8,3,17,24,8,98.54046407504939,30.294054273050275,30.554908752441406,6.096927642822266,130.71358104993124,14.909347534179688
